# %ECSV 1.0
# ---
# delimiter: ','
# meta: !!omap
# - RELEASE: Gaia FPR
# - TABLE: lens_candidates
# - DESCRIPTION: >
#     This table contains the sources identified as possible gravitational lens candidates based on an analysis of the observations in the neighbourhoud of a list of sources selected from a compilation of quasar candidates. Information about the catalogues from which these quasars proceed is given in the table of lens catalogue names.
#     
#     For each {\tt sourceId}, a list of components found around that source is tabulated, together with some information about their position and flux as derived from the cluster of observations associated with each of them. These individual observations are provided in \texttt{LensObservations}. 
#     
#     A separate table \texttt{LensOutliers} compiles all those observations that could not be associated to a component around a given sourceId, and that have therefore been discarded from the analysis.
# - CITATION: >
#     How to cite and acknowledge Gaia: 
#     https://gea.esac.esa.int/archive/documentation/credits.html 
# - KNOWN_ISSUES: >
#     Known issues: 
#     https://www.cosmos.esa.int/web/gaia-users/known-issues 
# - DOCUMENTATION: >
#     Tutorials and documentation: 
#     https://www.cosmos.esa.int/web/gaia-users/archive 
# datatype:
# - 
#   name: solution_id
#   datatype: int64
#   description: Solution Identifier
#   meta:
#     ucd: meta.version
# - 
#   name: source_id
#   datatype: int64
#   description: Unique source identifier
#   meta:
#     ucd: meta.id;meta.main
# - 
#   name: name
#   datatype: string
#   description: The name of the gravitational lens candidate
#   meta:
#     ucd: meta.id
# - 
#   name: flag
#   datatype: int8
#   description: GravLens flag
#   meta:
#     ucd: meta.code.status
# - 
#   name: n_components
#   datatype: int32
#   description: Number of components
#   meta:
#     ucd: meta.number
# - 
#   name: component_id
#   datatype: int32
#   description: Index of the component for this sourceId
#   meta:
#     ucd: meta.id.assoc
# - 
#   name: n_obs_component
#   datatype: int16
#   description: Number of valid observations used for this component
#   meta:
#     ucd: meta.number
# - 
#   name: component_flag
#   datatype: int8
#   description: Component object flag
#   meta:
#     ucd: meta.code.status
# - 
#   name: ra_component
#   datatype: float64
#   unit: deg
#   description: Mean right ascension of the component
#   meta:
#     ucd: pos.eq.ra
# - 
#   name: ra_std_component
#   datatype: float32
#   unit: mas
#   description: Standard deviation of the right ascension of the component
#   meta:
#     ucd: stat.error;pos.eq.ra
# - 
#   name: dec_component
#   datatype: float64
#   unit: deg
#   description: Mean declination of the clusters of measurements
#   meta:
#     ucd: pos.eq.dec
# - 
#   name: dec_std_component
#   datatype: float32
#   unit: mas
#   description: Standard deviation of the declination measurements
#   meta:
#     ucd: stat.error;pos.eq.dec
# - 
#   name: g_flux_component
#   datatype: float64
#   unit: "'electron'.s**-1"
#   description: Mean G flux of the component
#   meta:
#     ucd: phot.flux;em.opt
# - 
#   name: g_flux_component_error
#   datatype: float32
#   unit: "'electron'.s**-1"
#   description: Uncertainty of the mean flux value for this component
#   meta:
#     ucd: stat.error;phot.flux
# - 
#   name: g_mag_component
#   datatype: float32
#   unit: mag
#   description: Mean onboard G magnitude of the component
#   meta:
#     ucd: phot.mag;em.opt
# - 
#   name: g_mag_std_component
#   datatype: float32
#   unit: mag
#   description: Standard deviation of the onboard G magnitude of the component
#   meta:
#     ucd: stat.error;em.opt
solution_id,source_id,name,flag,n_components,component_id,n_obs_component,component_flag,ra_component,ra_std_component,dec_component,dec_std_component,g_flux_component,g_flux_component_error,g_mag_component,g_mag_std_component
4311356335145164801,290786466052736,"DR3Gaia025755.641+004843.97",0,1,1,10,0,44.481827411027616,51.460278,0.8121990500438054,62.761017,88.913521657451,1.2412713,20.792187,0.11832205
4311356335145164801,9932369570291584,"DR3Gaia032421.320+070722.60",0,1,1,10,0,51.08882760157085,39.946392,7.122937851636362,55.0971,102.2550426766101,1.3744271,20.553125,0.0946714
4311356335145164801,5704747361331968,"DR3Gaia024119.940+040105.40",0,1,1,23,0,40.333084840132265,73.18519,4.018166124304425,52.17193,106.26367310703502,0.9477322,20.317255,0.1579759
4311356335145164801,24667856902050688,"DR3Gaia022747.266+111559.10",0,2,1,15,0,36.94693954146366,58.48786,11.266422837063189,40.217247,100.8218478546655,1.2258493,20.55625,0.12745906
4311356335145164801,24667856902050688,"DR3Gaia022747.266+111559.10",0,2,2,23,0,36.94628091371977,48.869675,11.265117223437022,43.16799,735.8063223456293,1.42631,18.568615,0.08960277
4311356335145164801,5652559214191360,"DR3Gaia024215.834+035423.39",0,1,1,26,0,40.565974917220245,48.70347,3.9064913718505716,53.461163,445.27560039696897,1.1326659,19.116587,0.11024039
4311356335145164801,14206171267675776,"DR3Gaia031651.676+092055.47",0,1,1,18,0,49.215320535563805,78.28828,9.348739740441472,62.261494,105.20917955357095,0.95609015,20.509548,0.12975104
4311356335145164801,18174240012570112,"DR3Gaia023927.152+053632.99",0,1,1,27,0,39.86313582235437,46.633266,5.609164424408099,48.449055,575.3233325157878,1.2030112,18.827547,0.11615988
4311356335145164801,26994831528328192,"DR3Gaia023738.244+140743.02",0,1,1,25,0,39.40935609938529,62.761036,14.128618622436738,59.233055,268.28033069784624,1.0215082,19.645,0.1644044
4311356335145164801,7064224769631232,"DR3Gaia025722.547+054534.18",0,1,1,21,0,44.343947315758335,52.289494,5.759492350834849,41.696316,267.1370849487995,1.1466337,19.508184,0.18185641
4311356335145164801,24698398414722688,"DR3Gaia022726.120+113752.71",0,1,1,13,0,36.85882877325581,75.66966,11.631307314102564,52.843296,119.77199432151936,1.1274163,20.427885,0.1431399
4311356335145164801,3172400284431744,"DR3Gaia031204.687+043817.58",0,1,1,12,0,48.01953052642844,57.96568,4.638213612094011,42.214706,98.23051195191124,1.3131734,20.503906,0.13525495
4311356335145164801,7686548351209600,"DR3Gaia030217.194+071626.90",0,1,1,19,0,45.57163543724194,43.459187,7.27413523956596,70.97145,122.57459141208913,1.0581602,20.402138,0.15864845
4311356335145164801,12998701341589760,"DR3Gaia033547.511+101328.66",0,1,1,24,0,53.9479658956401,52.78866,10.224624430257325,55.755436,168.76771577681288,0.8910451,20.11263,0.19499181
4311356335145164801,81570019143424,"DR3Gaia025940.604+003353.84",0,1,1,24,0,44.919182970616596,68.93489,0.5649544558772871,54.42903,190.63551917658964,0.896721,20.014322,0.15705746
4311356335145164801,6818758799027712,"DR3Gaia030129.004+052846.34",0,1,1,14,0,45.37085549489653,89.8331,5.47953120869213,49.20234,107.5017544104342,1.1625521,20.47991,0.10970564
4311356335145164801,25213416532688768,"DR3Gaia023658.578+110847.55",0,1,1,21,0,39.244072594978675,47.980988,11.146535087287692,46.61799,211.01402666385067,1.0324339,19.861607,0.14825529
