# %ECSV 1.0
# ---
# delimiter: ','
# meta: !!omap
# - RELEASE: Gaia FPR
# - TABLE: lens_catalogue_name
# - DESCRIPTION: >
#     This table provides the list of input catalogues that have been used to select any given source that was analysed by the Gravitational Lens module and published in the lens candidate table.
#     
#     Each source may have been cross-matched to more than one catalogue and therefore can have several entries in the table. 
#     
#     For the FPR, the catalogues considered for this selection are mostly external, although sources identified by DPAC based on the classification performed by other processing have also been included here.
#     
#     Each catalogue is assigned a \texttt{catalogueId}. For the FPR the following applies:
#     \begin{itemize}
#     \item 1: Ducourant+2022 \cite{DR3-DPACP-153}
#     \item 2: Gravitational Lens data base (Ducourant+2023): \cite{2023Ducourant}
#     \item 3: Gravitational Lens candidates (Krone-Martins+2023): \cite{FPR-DPACP-200} 
#     \item 4: Milliquas 7.5b \cite{2021arXiv210512985F}
#     \item 5: Milliquas 7.5 \cite{2021arXiv210512985F}
#     \item 6: Milliquas 7.4d \cite{2021arXiv210512985F}
#     \item 7: Milliquas 7.4c \cite{2021arXiv210512985F}
#     \item 8: Milliquas 7.1b \cite{2019arXiv191205614F}
#     \item 9: Milliquas 7.0 \cite{2019arXiv191205614F}
#     \item 10: Milliquas 6.4 \cite{2019arXiv191205614F}
#     \item 11: Assef R90 \cite{2018ApJS..234...23A}
#     \item 12: Shu+2019 \cite{2019MNRAS.489.4741S}
#     \item 13: Assef C75 \cite{2018ApJS..234...23A}
#     \item 14: Sergei Klioner, private communication, 2022.
#     \end{itemize}
#     
#     Further details on these catalogues are given in Ducourant+2023.
# - CITATION: >
#     How to cite and acknowledge Gaia: 
#     https://gea.esac.esa.int/archive/documentation/credits.html 
# - KNOWN_ISSUES: >
#     Known issues: 
#     https://www.cosmos.esa.int/web/gaia-users/known-issues 
# - DOCUMENTATION: >
#     Tutorials and documentation: 
#     https://www.cosmos.esa.int/web/gaia-users/archive 
# datatype:
# - 
#   name: solution_id
#   datatype: int64
#   description: Solution Identifier
#   meta:
#     ucd: meta.version
# - 
#   name: source_id
#   datatype: int64
#   description: Unique source identifier (unique within a particular Data Release)
#   meta:
#     ucd: meta.id;meta.main
# - 
#   name: catalogue_id
#   datatype: int8
#   description: The unique identifier for the catalogue(s) used to select the sources in the gravitational lenses analysis
#   meta:
#     ucd: meta.id.assoc
solution_id,source_id,catalogue_id
4500506735866875780,10093963419656320,8
4500506735866875780,9214835153709696,8
4500506735866875780,12898199107034880,8
4500506735866875780,16852592676598912,8
4500506735866875780,9917766681301376,8
4500506735866875780,12912389679102336,8
4500506735866875780,9888565198807680,8
4500506735866875780,9648867368835584,8
4500506735866875780,16672242704994688,8
4500506735866875780,9916701529415296,8
4500506735866875780,9592414318650368,8
4500506735866875780,9185320138730368,8
4500506735866875780,10065036815655296,8
4500506735866875780,9669242693712640,8
4500506735866875780,16406190955557760,8
4500506735866875780,12464235611486848,8
4500506735866875780,12717501242688000,8
4500506735866875780,16871902849565440,8
4500506735866875780,16772637564963456,8
4500506735866875780,16436771122797952,8
4500506735866875780,9897872392769024,8
4500506735866875780,16886230860520320,8
4500506735866875780,12811646925811200,8
4500506735866875780,12940186707473536,8
4500506735866875780,9702163618282624,8
4500506735866875780,12419602311379328,8
4500506735866875780,9702335416974208,8
4500506735866875780,9677592110139008,8
4500506735866875780,10026377814831616,8
4500506735866875780,12834461792279808,8
4500506735866875780,12503989828500224,8
4500506735866875780,12399639303278080,8
4500506735866875780,16342075683703040,8
4500506735866875780,12393974242199040,8
4500506735866875780,16862488280993408,8
4500506735866875780,9689618018880384,8
4500506735866875780,11635547441293440,8
4500506735866875780,16801190507616896,8
4500506735866875780,12506841686831616,8
4500506735866875780,12441214586847872,8
4500506735866875780,10003425509235840,8
4500506735866875780,10110151151834496,8
4500506735866875780,12426233740850560,8
4500506735866875780,16864790383492992,8
4500506735866875780,12603980962826112,8
4500506735866875780,12601021729684736,8
4500506735866875780,10035345706534016,8
4500506735866875780,10055549232740864,8
4500506735866875780,10048028745235584,8
4500506735866875780,11638502378795904,8
4500506735866875780,16783980574260992,8
4500506735866875780,12420701822912128,8
4500506735866875780,9782217513626496,8
4500506735866875780,13358379083107712,8
4500506735866875780,12447055742394752,8
4500506735866875780,12653660849008640,8
4500506735866875780,13302377004895104,8
4500506735866875780,9609491108901376,8
4500506735866875780,16786896856432768,8
4500506735866875780,16377260055655808,8
4500506735866875780,9798267807106944,8
4500506735866875780,12606759806032640,8
4500506735866875780,16373312981207424,8
4500506735866875780,12605419776218368,8
4500506735866875780,16596616920234624,8
4500506735866875780,12547420537803648,8
4500506735866875780,9715353462508032,8
4500506735866875780,9745250729924992,8
